team1,team2,toss_winner,toss_decision,venue
Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,M Chinnaswamy Stadium
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,bat,"Punjab Cricket Association Stadium, Mohali"
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Wankhede Stadium
Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,bat,Sawai Mansingh Stadium
Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk"
Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,"Punjab Cricket Association Stadium, Mohali"
Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,M Chinnaswamy Stadium
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,"MA Chidambaram Stadium, Chepauk"
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,M Chinnaswamy Stadium
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Eden Gardens
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Sawai Mansingh Stadium
Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,"Punjab Cricket Association Stadium, Mohali"
Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,Sawai Mansingh Stadium
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,M Chinnaswamy Stadium
Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,Dr DY Patil Sports Academy
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Eden Gardens
Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,"MA Chidambaram Stadium, Chepauk"
Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"Punjab Cricket Association Stadium, Mohali"
Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Wankhede Stadium
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Wankhede Stadium
Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sawai Mansingh Stadium
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Eden Gardens
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Eden Gardens
Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,Wankhede Stadium
Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"MA Chidambaram Stadium, Chepauk"
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,"MA Chidambaram Stadium, Chepauk"
Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,bat,Eden Gardens
Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Sawai Mansingh Stadium
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,M Chinnaswamy Stadium
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,"Punjab Cricket Association Stadium, Mohali"
Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,bat,Wankhede Stadium
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Dr DY Patil Sports Academy
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Newlands
Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Newlands
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,St George's Park
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kingsmead
Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Newlands
Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kingsmead
Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,Newlands
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,St George's Park
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kingsmead
Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,Kingsmead
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,SuperSport Park
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Buffalo Park
Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kingsmead
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,bat,St George's Park
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,New Wanderers Stadium
Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,field,Kingsmead
Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,SuperSport Park
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,SuperSport Park
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,De Beers Diamond Oval
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,St George's Park
Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,SuperSport Park
Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,SuperSport Park
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,Kingsmead
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,Kingsmead
Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,St George's Park
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,SuperSport Park
Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Kingsmead
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Kingsmead
Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,New Wanderers Stadium
Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Brabourne Stadium
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,Eden Gardens
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,bat,M Chinnaswamy Stadium
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,Eden Gardens
Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,M Chinnaswamy Stadium
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,"Sardar Patel Stadium, Motera"
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Brabourne Stadium
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,field,"MA Chidambaram Stadium, Chepauk"
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,bat,Brabourne Stadium
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,M Chinnaswamy Stadium
Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,field,"Punjab Cricket Association Stadium, Mohali"
Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"Brabourne Stadium, Mumbai"
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Punjab Cricket Association Stadium, Mohali"
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,"Sardar Patel Stadium, Motera"
Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,Brabourne Stadium
Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"MA Chidambaram Stadium, Chepauk"
Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,"Punjab Cricket Association Stadium, Mohali"
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk"
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,Eden Gardens
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk"
Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,bat,Sawai Mansingh Stadium
Kings XI Punjab,Mumbai Indians,Mumbai Indians,bat,"Punjab Cricket Association Stadium, Mohali"
Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,M Chinnaswamy Stadium
Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Sawai Mansingh Stadium
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,"MA Chidambaram Stadium, Chepauk"
Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Sawai Mansingh Stadium
Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,M Chinnaswamy Stadium
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,Eden Gardens
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Himachal Pradesh Cricket Association Stadium
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Eden Gardens
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,Dr DY Patil Sports Academy
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Dr DY Patil Sports Academy
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk"
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,M Chinnaswamy Stadium
Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,field,"Punjab Cricket Association Stadium, Mohali"
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Sawai Mansingh Stadium
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk"
Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Eden Gardens
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,"Punjab Cricket Association Stadium, Mohali"
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Wankhede Stadium
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Eden Gardens
Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Sawai Mansingh Stadium
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,field,Eden Gardens
Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Wankhede Stadium
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,"MA Chidambaram Stadium, Chepauk"
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,M Chinnaswamy Stadium
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,Eden Gardens
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,"Punjab Cricket Association Stadium, Mohali"
Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sawai Mansingh Stadium
Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,M Chinnaswamy Stadium
Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,Himachal Pradesh Cricket Association Stadium
Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Wankhede Stadium
Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,M Chinnaswamy Stadium
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Eden Gardens
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Wankhede Stadium
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Wankhede Stadium
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk"
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk"
Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk"
Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Sawai Mansingh Stadium
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Sawai Mansingh Stadium
